0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.0050035,0.0050033,0.005003,0.0050028,0.0050026,0.0050023,0.0050021,0.0050018,0.0050016,0.0050014,0.0050011,0.0050009,0.0050007,0.0050004,0.0050002
0.0050271,0.0050253,0.0050235,0.0050216,0.0050198,0.005018,0.0050162,0.0050143,0.0050125,0.0050107,0.0050088,0.005007,0.0050052,0.0050034,0.0050015
0.0050881,0.0050822,0.0050763,0.0050704,0.0050645,0.0050586,0.0050527,0.0050468,0.0050409,0.005035,0.0050291,0.0050232,0.0050174,0.0050115,0.0050056
0.0052007,0.0051874,0.005174,0.0051607,0.0051474,0.0051341,0.0051208,0.0051074,0.0050941,0.0050808,0.0050675,0.0050542,0.0050408,0.0050275,0.0050142
0.0053765,0.0053517,0.005327,0.0053022,0.0052774,0.0052526,0.0052278,0.0052031,0.0051783,0.0051535,0.0051287,0.0051039,0.0050792,0.0050544,0.0050296
0.0056246,0.0055838,0.0055431,0.0055024,0.0054616,0.0054209,0.0053801,0.0053394,0.0052987,0.0052579,0.0052172,0.0051765,0.0051357,0.005095,0.0050543
0.0059513,0.0058898,0.0058284,0.0057669,0.0057055,0.005644,0.0055825,0.0055211,0.0054596,0.0053982,0.0053367,0.0052753,0.0052138,0.0051523,0.0050909
0.006361,0.0062739,0.0061869,0.0060998,0.0060128,0.0059258,0.0058387,0.0057517,0.0056646,0.0055776,0.0054906,0.0054035,0.0053165,0.0052294,0.0051424
0.0068557,0.0067383,0.0066208,0.0065034,0.006386,0.0062686,0.0061512,0.0060338,0.0059164,0.005799,0.0056816,0.0055642,0.0054468,0.0053293,0.0052119
0.0074355,0.0072832,0.0071309,0.0069785,0.0068262,0.0066738,0.0065215,0.0063691,0.0062168,0.0060645,0.0059121,0.0057598,0.0056074,0.0054551,0.0053027
0.008099,0.0079075,0.007716,0.0075245,0.007333,0.0071415,0.00695,0.0067586,0.0065671,0.0063756,0.0061841,0.0059926,0.0058011,0.0056096,0.0054181
0.0088426,0.0086083,0.0083739,0.0081396,0.0079052,0.0076708,0.0074365,0.0072021,0.0069678,0.0067334,0.006499,0.0062647,0.0060303,0.005796,0.0055616
0.0096618,0.0093814,0.0091011,0.0088207,0.0085403,0.0082599,0.0079796,0.0076992,0.0074188,0.0071384,0.0068581,0.0065777,0.0062973,0.0060169,0.0057366
0.01055,0.010222,0.0098927,0.0095638,0.009235,0.0089061,0.0085773,0.0082484,0.0079196,0.0075907,0.0072619,0.006933,0.0066042,0.0062753,0.0059465
0.011501,0.011122,0.010743,0.010364,0.009985,0.009606,0.009227,0.008848,0.0084689,0.0080899,0.0077109,0.0073318,0.0069528,0.0065738,0.0061948
0.012506,0.012076,0.011646,0.011216,0.010786,0.010356,0.0099254,0.0094954,0.0090653,0.0086352,0.0082051,0.007775,0.007345,0.0069149,0.0064848
0.013556,0.013074,0.012593,0.012112,0.011631,0.01115,0.010669,0.010188,0.0097066,0.0092255,0.0087443,0.0082632,0.0077821,0.007301,0.0068198
0.014641,0.014109,0.013578,0.013047,0.012516,0.011984,0.011453,0.010922,0.01039,0.0098592,0.009328,0.0087967,0.0082655,0.0077342,0.0072029
0.015751,0.015171,0.014591,0.014012,0.013432,0.012853,0.012273,0.011694,0.011114,0.010535,0.0099552,0.0093757,0.0087962,0.0082166,0.0076371
0.016875,0.01625,0.015625,0.015,0.014375,0.01375,0.013125,0.0125,0.011875,0.01125,0.010625,0.01,0.009375,0.00875,0.008125
0.018003,0.017336,0.01667,0.016003,0.015336,0.01467,0.014003,0.013336,0.012669,0.012003,0.011336,0.010669,0.010003,0.0093358,0.0086691
0.019124,0.018421,0.017717,0.017013,0.016309,0.015606,0.014902,0.014198,0.013494,0.012791,0.012087,0.011383,0.010679,0.0099754,0.0092717
0.020228,0.019493,0.018758,0.018022,0.017287,0.016552,0.015817,0.015081,0.014346,0.013611,0.012876,0.01214,0.011405,0.01067,0.0099345
0.021304,0.020543,0.019783,0.019023,0.018262,0.017502,0.016742,0.015981,0.015221,0.014461,0.0137,0.01294,0.01218,0.01142,0.010659
0.022342,0.021563,0.020785,0.020007,0.019229,0.018451,0.017672,0.016894,0.016116,0.015338,0.01456,0.013781,0.013003,0.012225,0.011447
