-0.0016742,-0.001942,-0.016298
-0.0018749,-0.002138,-0.016667
-0.002075,-0.0023759,-0.016981
-0.0022776,-0.0025976,-0.017188
-0.0024859,-0.0028609,-0.017338
-0.0027032,-0.0031634,-0.017428
-0.0029328,-0.0034279,-0.017432
-0.0031776,-0.0037233,-0.017372
-0.0033963,-0.003998,-0.017244
-0.0036349,-0.0042881,-0.017047
-0.0038586,-0.0046284,-0.01681
-0.0041026,-0.0049659,-0.016502
-0.0043655,-0.0052929,-0.016126
-0.0046592,-0.0056461,-0.015712
-0.004969,-0.0059748,-0.015235
-0.0053161,-0.0063034,-0.01472
-0.0056774,-0.0065978,-0.014151
-0.0061412,-0.0068839,-0.013542
-0.0066208,-0.0071301,-0.012892
-0.0071196,-0.0073349,-0.012209
-0.0076437,-0.007526,-0.011471
-0.0081937,-0.0076747,-0.010713
-0.0088147,-0.0077831,-0.0099221
-0.0094688,-0.0078514,-0.009125
-0.010161,-0.0078813,-0.0083059
-0.010895,-0.007875,-0.007492
-0.011675,-0.007835,-0.0066881
-0.012507,-0.0077406,-0.0058832
-0.013393,-0.0076177,-0.0050967
-0.01429,-0.007456,-0.0043472
-0.015244,-0.0072701,-0.0036232
-0.016301,-0.0070458,-0.002943
-0.017417,-0.0068011,-0.0022957
-0.018592,-0.0065377,-0.0016849
-0.019814,-0.0062441,-0.0011329
-0.021096,-0.0059353,-0.00062432
-0.022539,-0.0055897,-0.00016993
-0.024043,-0.0052313,0.00023421
-0.025656,-0.0048604,0.00058509
-0.027335,-0.0044688,0.00093325
-0.029084,-0.0040658,0.001227
-0.030947,-0.0036525,0.0014782
-0.032885,-0.0032288,0.0017666
-0.034945,-0.0027955,0.0020178
-0.037098,-0.0023564,0.0022857
-0.039348,-0.0019303,0.0025267
-0.041697,-0.0014937,0.0027683
-0.044146,-0.0010519,0.0030032
-0.046653,-0.00061994,0.0032494
-0.049248,-0.00015037,0.003455
-0.051988,0.00030754,0.0036893
-0.054819,0.00073143,0.0038537
-0.057749,0.0011517,0.0040487
-0.060752,0.0015075,0.0041708
-0.063849,0.0018501,0.0043221
-0.067035,0.0021651,0.0044929
-0.070303,0.0024562,0.0046274
-0.073737,0.0027108,0.0047869
-0.077278,0.0029312,0.0049355
-0.080891,0.0031119,0.0050891
-0.084577,0.0033216,0.0052572
-0.088331,0.0034867,0.0054189
-0.092194,0.0036065,0.0055687
-0.096172,0.0037557,0.005807
-0.10021,0.003871,0.006022
-0.10432,0.0039949,0.006289
-0.10848,0.004089,0.0065435
-0.11273,0.0041734,0.0068193
-0.11703,0.0042416,0.00709
-0.12143,0.004334,0.0073595
-0.12583,0.0044251,0.0076164
-0.13025,0.0045243,0.007894
-0.13466,0.0045494,0.0081278
-0.13912,0.0045939,0.0083713
-0.14365,0.0046015,0.0085725
-0.1482,0.0046328,0.0087823
-0.15281,0.004689,0.0090069
-0.15744,0.0046955,0.0092149
-0.16208,0.0046945,0.0094196
-0.16677,0.0046666,0.0096257
-0.17146,0.0046499,0.0098311
-0.17618,0.0046776,0.010056
-0.18091,0.0047068,0.010278
-0.18567,0.0047257,0.010501
-0.19043,0.0047824,0.010749
-0.19522,0.004826,0.010993
-0.19999,0.0048878,0.011255
-0.20477,0.0049371,0.011514
-0.20945,0.0050022,0.011788
-0.21413,0.0050545,0.012063
-0.21882,0.0051041,0.012343
-0.22349,0.0051715,0.0126
-0.2282,0.0052459,0.012869
-0.23286,0.0053155,0.013123
-0.2375,0.0053824,0.013385
-0.24211,0.00547,0.013629
-0.2467,0.0055618,0.013878
-0.25129,0.0056628,0.014133
-0.25586,0.0057522,0.014374
-0.26045,0.0058562,0.014609
-0.26506,0.0059649,0.014858
-0.26965,0.0060926,0.015105
-0.27417,0.0062248,0.015362
-0.27869,0.0063783,0.015615
-0.28323,0.0065309,0.015861
-0.28777,0.0066918,0.01612
-0.29226,0.0068964,0.016376
