0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.9609e-09,0.0,2.9807e-09,-6.9609e-09,2.4839e-08,6.9609e-09,-6.9609e-09,0.0,2.9807e-09,-6.9609e-09,2.4839e-08,6.9609e-09,-6.9609e-09,0.0,2.9807e-09,-6.9609e-09,2.4839e-08,6.9609e-09
-5.5624e-08,0.0,2.3798e-08,-5.5624e-08,1.9832e-07,5.5624e-08,-5.5624e-08,0.0,2.3798e-08,-5.5624e-08,1.9832e-07,5.5624e-08,-5.5624e-08,0.0,2.3798e-08,-5.5624e-08,1.9832e-07,5.5624e-08
-1.8752e-07,0.0,8.0157e-08,-1.8752e-07,6.6797e-07,1.8752e-07,-1.8752e-07,0.0,8.0157e-08,-1.8752e-07,6.6797e-07,1.8752e-07,-1.8752e-07,0.0,8.0157e-08,-1.8752e-07,6.6797e-07,1.8752e-07
-4.4397e-07,0.0,1.8962e-07,-4.4397e-07,1.5802e-06,4.4397e-07,-4.4397e-07,0.0,1.8962e-07,-4.4397e-07,1.5802e-06,4.4397e-07,-4.4397e-07,0.0,1.8962e-07,-4.4397e-07,1.5802e-06,4.4397e-07
-8.6614e-07,0.0,3.6961e-07,-8.6614e-07,3.0801e-06,8.6614e-07,-8.6614e-07,0.0,3.6961e-07,-8.6614e-07,3.0801e-06,8.6614e-07,-8.6614e-07,0.0,3.6961e-07,-8.6614e-07,3.0801e-06,8.6614e-07
-1.495e-06,0.0,6.374e-07,-1.495e-06,5.3117e-06,1.495e-06,-1.495e-06,0.0,6.374e-07,-1.495e-06,5.3117e-06,1.495e-06,-1.495e-06,0.0,6.374e-07,-1.495e-06,5.3117e-06,1.495e-06
-2.3713e-06,0.0,1.0101e-06,-2.3713e-06,8.4178e-06,2.3713e-06,-2.3713e-06,0.0,1.0101e-06,-2.3713e-06,8.4178e-06,2.3713e-06,-2.3713e-06,0.0,1.0101e-06,-2.3713e-06,8.4178e-06,2.3713e-06
-3.5355e-06,0.0,1.5048e-06,-3.5355e-06,1.254e-05,3.5355e-06,-3.5355e-06,0.0,1.5048e-06,-3.5355e-06,1.254e-05,3.5355e-06,-3.5355e-06,0.0,1.5048e-06,-3.5355e-06,1.254e-05,3.5355e-06
-5.0282e-06,0.0,2.1383e-06,-5.0282e-06,1.7819e-05,5.0282e-06,-5.0282e-06,0.0,2.1383e-06,-5.0282e-06,1.7819e-05,5.0282e-06,-5.0282e-06,0.0,2.1383e-06,-5.0282e-06,1.7819e-05,5.0282e-06
-6.8895e-06,0.0,2.9273e-06,-6.8895e-06,2.4394e-05,6.8895e-06,-6.8895e-06,0.0,2.9273e-06,-6.8895e-06,2.4394e-05,6.8895e-06,-6.8895e-06,0.0,2.9273e-06,-6.8895e-06,2.4394e-05,6.8895e-06
-9.1594e-06,0.0,3.8883e-06,-9.1594e-06,3.2403e-05,9.1594e-06,-9.1594e-06,0.0,3.8883e-06,-9.1594e-06,3.2403e-05,9.1594e-06,-9.1594e-06,0.0,3.8883e-06,-9.1594e-06,3.2403e-05,9.1594e-06
